 ---------------------------------- ----------- ---------------------------------------------- 
  Name                               Method      Path                                          
 ---------------------------------- ----------- ---------------------------------------------- 
  _preview_error                     ANY         /_error/{code}.{_format}                      
  gesdinet_jwt_refresh_token         ANY         /api/token/refresh                            
  app.swagger                        GET         /doc.json                                     
  app.swagger_ui                     GET         /doc                                          
  _wdt_stylesheet                    ANY         /_wdt/styles                                  
  _wdt                               ANY         /_wdt/{token}                                 
  _profiler_home                     ANY         /_profiler/                                   
  _profiler_search                   ANY         /_profiler/search                             
  _profiler_search_bar               ANY         /_profiler/search_bar                         
  _profiler_phpinfo                  ANY         /_profiler/phpinfo                            
  _profiler_xdebug                   ANY         /_profiler/xdebug                             
  _profiler_font                     ANY         /_profiler/font/{fontName}.woff2              
  _profiler_search_results           ANY         /_profiler/{token}/search/results             
  _profiler_open_file                ANY         /_profiler/open                               
  _profiler                          ANY         /_profiler/{token}                            
  _profiler_router                   ANY         /_profiler/{token}/router                     
  _profiler_exception                ANY         /_profiler/{token}/exception                  
  _profiler_exception_css            ANY         /_profiler/{token}/exception.css              
  app_article_car_get                GET         /article/{article_id}/car                     
  app_article_car_post               POST        /article/{article_id}/car/{car_id}            
  app_article_car_delete             DELETE      /article/{article_id}/car/{car_id}            
  app_category_articles              GET         /category/{id_category}/articles              
  app_category_article_delete_add    POST        /category/{id_category}/article/{id_article}  
  app_category_article_delete        DELETE      /category/{id_category}/article/{id_article}  
  app_article_categories_list        GET         /article/{id}/category                        
  app_article_get                    GET         /article                                      
  app_article_get_by                 POST        /article/get                                  
  app_article_get_one                GET         /article/{id_article}                         
  app_article_create                 POST        /article                                      
  app_article_edit                   PUT         /article                                      
  app_article_delete                 DELETE      /article/{id_article}                         
  app_article_language_list          GET         /article/{id_article}/language                
  app_article_language_create        POST        /article/{id_article}/language                
  app_article_language_update        PUT         /article/language/{id}                        
  app_article_language_delete        DELETE      /article/language/{id}                        
  app_article_criterion              GET         /article/{id_article}/criterion               
  app_article_criterion_add          POST        /article/criterion                            
  app_article_criterion_update       PUT         /article/criterion                            
  app_article_criterion_delete       DELETE      /article/criterion/{id_article_criterion}     
  app_car_get                        POST        /car/get                                      
  app_car_post                       POST        /car                                          
  app_car_put                        PUT         /car                                          
  app_car_delete                     DELETE      /car/{id_car}                                 
  app_car_search                     GET         /car/search/{text_value}                      
  app_car_search_post                POST        /car/search                                   
  app_car_manufacturers              GET         /car/manufacturers                            
  app_car_models                     GET         /car/{manufacturer}/models                    
  app_car_affected_parts             GET         /car/affected-parts/{id}                      
  app_category_get                   GET         /category                                     
  app_category_create                POST        /category                                     
  app_category_delete                DELETE      /category/{id}                                
  app_category_edit                  PUT         /category                                     
  app_criterion_get                  GET         /criterion                                    
  app_criterion_add                  POST        /criterion                                    
  app_criterion_edit                 PUT         /criterion                                    
  app_criterion_delete               DELETE      /criterion/{id}                               
  app_criterion_translation_delete   DELETE      /criterion/translation/{trid}                 
  app_article_image_get              GET         /article/{id_article}/images                  
  app_article_image_post             POST        /article/{id_article}/image                   
  app_article_image_delete           DELETE      /article/image/{id}                           
  app_article_image_reorder          PUT         /article/{id_article}/images/reorder          
  app_article_image_set_main         PUT         /article/image/{id}/set-main                  
  app_article_image_update           PUT|PATCH   /article/image/{id}                           
  api_import_headers                 POST        /api/import/headers                           
  api_import_validate                POST        /api/import/validate                          
  api_import_run                     POST        /api/import/run                               
  api_import_list_jobs               GET         /api/import/jobs                              
  api_import_status                  GET         /api/import/status/{id}                       
  api_import_pause                   POST        /api/import/pause/{id}                        
  api_import_resume                  POST        /api/import/resume/{id}                       
  api_import_revert                  DELETE      /api/import/revert/{id}                       
  app_language_get                   GET         /language                                     
  app_language_delete                DELETE      /language/{id}                                
  app_language_edit                  PUT         /language                                     
  app_language_create                POST        /language                                     
  api_test_mercure_test              GET         /api/test/mercure/{id}                        
  app_article_reference_get          GET         /reference/{id_article}                       
  app_reference_post                 POST        /reference                                    
  app_reference_put                  PUT         /reference                                    
  app_reference_delete               DELETE      /reference/{id_reference}                     
  app_article_reference_type_get     GET         /reference_type                               
  app_reference_type_post            POST        /reference_type                               
  app_reference_type_delete          DELETE      /reference_type/{id_reference_type}           
  app_reference_type_put             PUT         /reference_type                               
  app_register                       POST        /register                                     
  app_seed_sample_data               POST        /seed/sample-data                             
  api_settings_list                  GET         /api/settings                                 
  api_settings_get                   GET         /api/settings/{key}                           
  api_settings_update                POST|PUT    /api/settings                                 
  api_settings_delete                DELETE      /api/settings/{key}                           
  app_stock_get                      GET         /stock                                        
  app_stock_add                      POST        /stock                                        
  app_stock_edit                     PUT         /stock                                        
  app_stock_delete                   DELETE      /stock/{id}                                   
  app_user_index                     GET         /api/users                                    
  app_user_create                    POST        /api/users                                    
  app_user_show                      GET         /api/users/{id}                               
  app_user_update                    PUT         /api/users/{id}                               
  app_user_delete                    DELETE      /api/users/{id}                               
  app_user_group_index               GET         /api/user-groups                              
  app_user_group_create              POST        /api/user-groups                              
  app_user_group_show                GET         /api/user-groups/{id}                         
  app_user_group_update              PUT         /api/user-groups/{id}                         
  app_user_group_delete              DELETE      /api/user-groups/{id}                         
  api_login_check                    ANY         /login_check                                  
  api_refresh_token                  ANY         /token/refresh                                
 ---------------------------------- ----------- ---------------------------------------------- 

